W. Europe Daylight Time,Awa,Aws,Twa,Tws,Twd,Lat,Lon,Cog,GPS time
42944.320181,,,,,,39.566495,2.638025,,42944.315104
42944.320192,,,,,,39.566497,2.638025,48.9,42944.315116
42944.320204,,,,,,39.566497,2.638027,48.9,42944.315127
42944.320215,,,,,,39.566497,2.638027,45.6,42944.315139
42944.320227,,,,,,39.566497,2.638027,45.6,42944.315162
42944.320238,,,,,,39.566497,2.638028,45.6,42944.315174
42944.320250,,,,,,39.566497,2.63803,45.6,42944.315185
42944.320262,,,,,,39.566497,2.63803,45.6,42944.315197
42944.320273,,,,,,39.566497,2.63803,45.6,42944.315208
42944.320285,,,,,,39.566497,2.63803,45.6,42944.31522
42944.320297,,,,,,39.566497,2.63803,45.6,42944.315231
42944.320308,,,,,,39.566497,2.63803,45.6,42944.315243
42944.320320,,,,,,39.566497,2.63803,45.6,42944.315255
42944.320331,,,,,,39.566497,2.63803,45.6,42944.315266
42944.320344,,,,,,39.566497,2.63803,45.6,42944.315278
42944.320356,,,,,,39.566497,2.638032,45.6,42944.315289
42944.320367,,,,,,39.566497,2.638032,45.6,42944.315301
42944.320379,,,,,,39.566497,2.638032,45.6,42944.315313
42944.320391,,,,,,39.566497,2.638032,45.6,42944.315324
42944.320403,,,,,,39.566497,2.638032,45.6,42944.315336
42944.320414,,,,,,39.566497,2.63803,45.6,42944.315347
42944.320425,,,,,,39.566497,2.63803,45.6,42944.315359
42944.320437,,,,,,39.566497,2.63803,45.6,42944.31537
42944.320448,,,,,,39.566497,2.638028,45.6,42944.315382
42944.320460,,,,,,39.566497,2.638028,45.6,42944.315394
42944.320473,,,,,,39.566497,2.638028,45.6,42944.315405
42944.320484,,,,,,39.566497,2.638027,45.6,42944.315417
42944.320496,,,,,,39.566497,2.638027,45.6,42944.315428
42944.320508,,,,,,39.566495,2.638027,45.6,42944.31544
42944.320519,,,,,,39.566495,2.638027,45.6,42944.315451
42944.320531,,,,,,39.566493,2.638027,45.6,42944.315463
42944.320542,,,,,,39.566492,2.638027,45.6,42944.315475
42944.320554,,,,,,39.56649,2.638027,45.6,42944.315486
42944.320566,,,,,,39.56649,2.638027,45.6,42944.315498
42944.320577,,,,,,39.566488,2.638027,45.6,42944.315509
42944.320589,,,,,,39.566488,2.638027,45.6,42944.315521
42944.320601,,,,,,39.566488,2.638027,45.6,42944.315532
42944.320612,,,,,,39.566488,2.638027,45.6,42944.315544
42944.320625,,,,,,39.566488,2.638027,45.6,42944.315556
42944.320636,,,,,,39.566488,2.638025,45.6,42944.315567
42944.320648,,,,,,39.56649,2.638025,45.6,42944.315579
42944.320659,,,,,,39.56649,2.638023,45.6,42944.31559
42944.320672,,,,,,39.56649,2.638023,45.6,42944.315602
42944.320683,,,,,,39.566492,2.638022,45.6,42944.315613
42944.320694,,,,,,39.566492,2.63802,45.6,42944.315625
42944.320706,,,,,,39.566492,2.63802,45.6,42944.315637
42944.320718,,,,,,39.56649,2.63802,45.6,42944.315648
42944.320729,,,,,,39.56649,2.638018,45.6,42944.31566
42944.320741,,,,,,39.56649,2.638018,45.6,42944.315671
42944.320752,,,,,,39.56649,2.638018,45.6,42944.315683
42944.320765,,,,,,39.566488,2.63802,45.6,42944.315694
42944.320777,,,,,,39.566487,2.63802,45.6,42944.315706
42944.320788,,,,,,39.566487,2.638022,45.6,42944.315718
42944.320800,,,,,,39.566487,2.638022,45.6,42944.315729
42944.320811,,,,,,39.566483,2.638025,45.6,42944.315741
42944.320823,,,,,,39.566483,2.638027,45.6,42944.315752
42944.320835,,,,,,39.566482,2.638028,45.6,42944.315764
42944.320846,,,,,,39.566482,2.63803,45.6,42944.315775
42944.320858,,,,,,39.566482,2.63803,45.6,42944.315787
42944.320870,,,,,,39.566482,2.638032,45.6,42944.315799
42944.320882,,,,,,39.566482,2.638033,45.6,42944.31581
42944.320894,,,,,,39.566482,2.638033,45.6,42944.315822
42944.320905,,,,,,39.566482,2.638033,45.6,42944.315833
42944.320917,,,,,,39.566482,2.638035,57.6,42944.315845
42944.320929,,,,,,39.566482,2.638037,57.6,42944.315856
42944.320940,,,,,,39.566482,2.638037,57.6,42944.315868
