Boat,Utc,Bsp,Awa,Aws,Twa,Tws,Twd,RudderFwd,Leeway,Set,Drift,Hdg,AirTemp,SeaTemp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FStayLen,MastButt,Load S,Load P,Rake,Volts,ROT,GpQual,PDOP,GpsNum,GpsAge,Altitude,GeoSep,GpsMode,Lat,Lon,Cog,Sog,DiffStn,Error,RunnerS,RunnerP,Vang,Trav,Main,KeelAng,KeelHt,Board,Oil P,RPM 1,RPM 2,Board P,Board S,DistToLn,RchTmToLn,RchDtToLn,GPS time,Twd+90,Twd-90,Downhaul2,Mk Lat,Mk Lon,Port lat,Port lon,Stbd lat,Stbd lon,HPE,RH,Lead P,Lead S,BackStay,User 0,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15,User 16,User 17,User 18,User 19,User 20,User 21,User 22,User 23,User 24,User 25,User 26,User 27,User 28,User 29,User 30,User 31,TmToGun,TmToLn,TmToBurn,BelowLn,GunBlwLn,WvSigHt,WvSigPd,WvMaxHt,WvMaxPd,Slam,Motion,Mwa,Mws,Boom,Twist,TackLossT,TackLossD,TrimRate,HeelRate,DeflectorP,RudderP,RudderS,RudderToe,BspTr,FStayInner,DeflectorS,Bobstay,Outhaul,D0 P,D0 S,D1 P,D1 S,V0 P,V0 S,V1 P,V1 S
0,42944.42686,0,-133,3.7,-134,4,185,,,,,317,,28.1,,,,,,,,,,,,,,,,,1,1.5,8,,1.2,51.1,2,39.5665117,2.638035,267.8,0,,,,,,,,,,,,,,,,,,,42944.42179,275,95,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,42944.42687,,,,-134,4,,,,,,,,,,,,,,,,,,,,,,,,,1,1.6,8,,1.2,51.1,2,39.5665117,2.638035,267.8,0,,,,,,,,,,,,,,,,,,,42944.42181,275,95,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,42944.42689,,-133,3.4,,3.8,184,,,,,318,,28.1,,,,,,,,,,,,,,,,,,1.6,8,,,,2,39.5665117,2.6380333,267.8,0.1,,,,,,,,,,,,,,,,,,,42944.42182,274,94,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,42944.4269,0,-130,3.4,-133,3.7,,,,,,318,,,,,,,,,,,,,,,,,,,1,1.5,9,,1.1,51.1,2,39.5665117,2.6380333,267.8,0.1,,,,,,,,,,,,,,,,,,,42944.42183,274,94,,,,,,,,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,42944.42691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5,9,,1.1,51.1,2,39.5665117,2.6380333,267.8,0.1,,,,,,,,,,,,,,,,,,,42944.42184,274,94,,,,,,,,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,42944.42692,0,-133,3.4,-139,3.5,182,,,,,319,,28.1,,,,,,,,,,,,,,,,,1,1.5,9,,1.1,51.1,2,39.5665117,2.6380333,267.8,0.1,,,,,,,,,,,,,,,,,,,42944.42185,272,92,,,,,,,,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,42944.42693,,,,-134,3.5,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5,9,,1.2,51.1,2,39.5665117,2.6380333,267.8,0.1,,,,,,,,,,,,,,,,,,,42944.42186,272,92,,,,,,,,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,42944.42694,0,-144,3.3,-141,3.5,181,,,,,319,,28.1,,,,,,,,,,,,,,,,,1,1.5,9,,1.3,51.1,2,39.5665117,2.6380333,267.8,0,,,,,,,,,,,,,,,,,,,42944.42188,271,91,,,,,,,,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,42944.42696,,-143,3.3,-142,3.4,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5,9,,1.3,51.1,2,39.5665117,2.6380333,267.8,0.2,,,,,,,,,,,,,,,,,,,42944.42189,271,91,,,,,,,,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,42944.42697,,,,,,,,,,,319,,28.1,,,,,,,,,,,,,,,,,1,1.5,9,,1.3,51.1,2,39.5665133,2.6380333,267.8,0,,,,,,,,,,,,,,,,,,,42944.4219,271,91,,,,,,,,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
